title,price,link
"Видеокарта Palit NVIDIA  GeForce RTX 4060 RTX4060 DUAL 8ГБ Dual, GDDR6, Ret [ne64060019p1-1070d]",36 900,https://www.citilink.ru/product/videokarta-palit-nvidia-geforce-rtx-4060-rtx4060-dual-8gb-dual-gddr6-r-1942212/
"Видеокарта NINJA AMD  Radeon R7 350 Radeon R7 350 2ГБ GDDR5, Ret [afr735025f]",7360,https://www.citilink.ru/product/videokarta-ninja-pci-e-radeon-r7-350-amd-radeon-r7-350-2gb-128bit-gddr-2011746/
"Видеокарта Palit NVIDIA  GeForce RTX 3060 PA-RTX3060 DUAL 12G 12ГБ Dual, GDDR6, LHR,  Ret [ne63060019k9-190ad]",34 000,https://www.citilink.ru/product/videokarta-palit-nvidia-geforce-rtx-3060-pa-rtx3060-dual-12g-12gb-dual-1469005/
"Видеокарта GIGABYTE NVIDIA  GeForce RTX 4080 Super GV-N408SAORUS M-16GD 16ГБ Master, GDDR6X, Ret",167 700,https://www.citilink.ru/product/videokarta-gigabyte-nvidia-geforce-rtx-4080-super-gv-n408saorus-m-16gd-2000758/
"Видеокарта ASUS NVIDIA  GeForce RTX 4070 Super PROART-RTX4070S-O12G 12ГБ ProArt, GDDR6X, OC,  Ret",95 800,https://www.citilink.ru/product/videokarta-asus-pci-e-4-0-proart-rtx4070s-o12g-nv-rtx4070-super-12gb-1-2008897/
"Видеокарта AFOX NVIDIA  GeForce GT 220 AF220-1024D3L2 1ГБ DDR3, Low Profile,  Ret",3450,https://www.citilink.ru/product/videokarta-afox-pci-e-af220-1024d3l2-nv-gt220-1gb-128bit-ddr3-550-1580-2011707/
"Видеокарта Palit NVIDIA  GeForce RTX 4060 RTX4060 DUAL OC 8ГБ Dual, GDDR6, OC,  Ret [ne64060t19p1-1070d]",37 600,https://www.citilink.ru/product/videokarta-palit-nvidia-geforce-rtx-4060-rtx4060-dual-oc-8gb-dual-gddr-1942195/
"Видеокарта GIGABYTE NVIDIA  GeForce RTX 4070TI Super GV-N407TSWF3OC-16GD 16ГБ Windforce, GDDR6X, OC,  Ret",116 500,https://www.citilink.ru/product/videokarta-gigabyte-nvidia-geforce-rtx-4070ti-super-gv-n407tswf3oc-16g-2000779/
"Видеокарта ASUS AMD  Radeon RX 6750XT DUAL-RX6750XT-O12G 12ГБ GDDR6, OC,  Ret",62 800,https://www.citilink.ru/product/videokarta-asus-amd-radeon-rx-6750xt-dual-rx6750xt-o12g-12gb-gddr6-oc-1811680/
"Видеокарта MSI NVIDIA  GeForce RTX 4060TI RTX 4060 Ti VENTUS 2X BLACK 16GOC 16ГБ Ventus 2X Black, GDDR6, OC,  Ret [rtx 4060 ti ventus 2x bl16g oc]",50 600,https://www.citilink.ru/product/videokarta-msi-nvidia-geforce-rtx-4060ti-rtx-4060-ti-ventus-2x-black-1-1969998/
"Видеокарта NINJA NVIDIA  GeForce GT 240 GeForce GT 240 1ГБ GDDR3, Low Profile,  Ret [nh24np013f]",3570,https://www.citilink.ru/product/videokarta-ninja-pci-e-geforce-gt-240-nv-gt240-1gb-128bit-gddr3-550-13-2011767/
"Видеокарта Palit NVIDIA  GeForce RTX 4070TI Super RTX4070Ti SUPER GAMINGPRO 16ГБ GamingPro, GDDR6X, Ret [ned47ts019t2-1043a]",109 900,https://www.citilink.ru/product/videokarta-palit-nvidia-geforce-rtx-4070ti-super-rtx4070ti-super-gamin-1997218/
"Видеокарта AFOX NVIDIA  GeForce 210 AF210-512D3L3-V2 512МБ DDR3, Low Profile,  Ret",3230,https://www.citilink.ru/product/videokarta-afox-pci-e-af210-512d3l3-v2-nv-gf210-512mb-64bit-ddr3-550-1-2011706/
"Видеокарта GIGABYTE NVIDIA  GeForce RTX 4060 GV-N4060EAGLE OC-8GD 8ГБ Eagle, GDDR6, OC,  Ret",40 300,https://www.citilink.ru/product/videokarta-gigabyte-nvidia-geforce-rtx-4060-gv-n4060eagle-oc-8gd-8gb-e-1939125/
"Видеокарта AFOX NVIDIA  GeForce GT 240 AF240-1024D3L2-V2 1ГБ DDR3, Low Profile,  Ret",3570,https://www.citilink.ru/product/videokarta-afox-pci-e-af240-1024d3l2-v2-nv-gt240-1gb-128bit-ddr3-550-2-2011709/
"Видеокарта GIGABYTE NVIDIA  GeForce RTX 3060 GV-N3060GAMING OC-12GD 2.0 LHR 12ГБ GDDR6, OC,  LHR,  Ret",40 400,https://www.citilink.ru/product/videokarta-gigabyte-nvidia-geforce-rtx-3060-gv-n3060gaming-oc-12gd-2-0-1531394/
"Видеокарта AFOX NVIDIA  GeForce GT 730 AF730-2048D5H5 2ГБ GDDR5, Ret",7750,https://www.citilink.ru/product/videokarta-afox-pci-e-af730-2048d5h5-nv-gt730-2gb-128bit-gddr5-700-340-2011721/
"Видеокарта MSI NVIDIA  GeForce RTX 3050 RTX 3050 VENTUS 2X XS 8G OC 8ГБ Ventus 2X, GDDR6, OC,  Ret",28 400,https://www.citilink.ru/product/videokarta-msi-nvidia-geforce-rtx-3050-rtx-3050-ventus-2x-xs-8g-oc-8gb-1973797/
"Видеокарта AFOX NVIDIA  GeForce GT 730 AF730-4096D3L6 4ГБ GDDR3, Low Profile,  Ret",6710,https://www.citilink.ru/product/videokarta-afox-pci-e-af730-4096d3l6-nv-gt730-4gb-128bit-gddr3-700-133-2011722/
"Видеокарта Palit NVIDIA  GeForce RTX 3060 PA-RTX3060 DUAL OC 12G 12ГБ GDDR6, OC,  LHR,  Ret [ne63060t19k9-190ad]",35 300,https://www.citilink.ru/product/videokarta-palit-nvidia-geforce-rtx-3060-pa-rtx3060-dual-oc-12g-12gb-g-1469028/
"Видеокарта AFOX NVIDIA  GeForce GT 740 AF740-4096D3L3 4ГБ GDDR3, Ret",8780,https://www.citilink.ru/product/videokarta-afox-pci-e-af740-4096d3l3-nv-gt740-4gb-128bit-gddr3-902-500-2011725/
"Видеокарта Palit NVIDIA  GeForce RTX 4060TI RTX4060Ti JETSTREAM 16ГБ JetStream, GDDR6, Ret [ne6406t019t1-1061j]",55 000,https://www.citilink.ru/product/videokarta-palit-nvidia-geforce-rtx-4060ti-rtx4060ti-jetstream-16gb-je-1987542/
